Times,CPU Temperature (°„C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°„C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1689,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1690,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1691,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1692,45,1.49,115,1.72,65,0,110,0,1.72
1693,45,1.49,115,1.72,64,2,110,2.2,3.92
1694,45,1.49,115,1.72,64,12,110,13.2,14.92
1695,45,1.49,115,1.72,71,94,110.47,103.84,105.56
1696,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1697,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1698,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1699,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1700,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1701,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1702,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1703,45,1.49,115,1.72,65,0,110,0,1.72
1704,45,1.49,115,1.72,64,0,110,0,1.72
1705,45,1.49,115,1.72,64,11,110,12.1,13.82
1706,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1707,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1708,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1709,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1710,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1711,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1712,45,1.49,115,1.72,72,93,110.94,103.18,104.9
1713,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1714,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1715,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1716,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1717,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1718,45,1.49,115,1.72,74,94,111.89,105.17,106.89
1719,45,1.49,115,1.72,73,93,111.41,103.62,105.34
1720,45,1.49,115,1.72,73,94,111.41,104.73,106.45
1721,45,1.49,115,1.72,66,0,110,0,1.72
1722,45,1.49,115,1.72,65,0,110,0,1.72
1723,45,1.49,115,1.72,65,6,110,6.6,8.32
