Times,CPU Temperature (°C),CPU Usage (%),Adjusted CPU Power (W),CPU Energy (J),GPU Temperature (°C),GPU Usage (%),Adjusted GPU Power (W),GPU Energy (J),Total Energy (J)
1094,27.8,2.37,125,2.97,65,0,350,0,2.97
1095,27.8,2.37,125,2.97,65,0,350,0,2.97
1096,27.8,2.37,125,2.97,65,0,350,0,2.97
1097,27.8,2.37,125,2.97,67,83,350,290.5,293.47
1098,27.8,2.37,125,2.97,69,79,350,276.5,279.47
1099,27.8,2.37,125,2.97,70,81,350,283.5,286.47
1100,27.8,2.37,125,2.97,70,82,350,287,289.97
1101,27.8,2.37,125,2.97,70,78,350,273,275.97
1102,27.8,2.37,125,2.97,71,77,351.5,270.65,273.62
1103,27.8,2.37,125,2.97,71,75,351.5,263.62,266.59
1104,27.8,2.37,125,2.97,71,83,351.5,291.75,294.72
1105,27.8,2.37,125,2.97,71,80,351.5,281.2,284.17
1106,27.8,2.37,125,2.97,69,3,350,10.5,13.47
1107,27.8,2.37,125,2.97,68,0,350,0,2.97
1108,27.8,2.37,125,2.97,67,7,350,24.5,27.47
1109,27.8,2.37,125,2.97,66,6,350,21,23.97
1110,27.8,2.37,125,2.97,70,81,350,283.5,286.47
1111,27.8,2.37,125,2.97,68,5,350,17.5,20.47
1112,27.8,2.37,125,2.97,70,67,350,234.5,237.47
1113,27.8,2.37,125,2.97,69,77,350,269.5,272.47
1114,27.8,2.37,125,2.97,68,2,350,7,9.97
1115,27.8,2.37,125,2.97,68,4,350,14,16.97
1116,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1117,27.8,2.37,125,2.97,70,76,350,266,268.97
1118,27.8,2.37,125,2.97,70,45,350,157.5,160.47
1119,27.8,2.37,125,2.97,70,63,350,220.5,223.47
1120,27.8,2.37,125,2.97,70,77,350,269.5,272.47
1121,27.8,2.37,125,2.97,70,33,350,115.5,118.47
1122,27.8,2.37,125,2.97,71,79,351.5,277.69,280.66
1123,27.8,2.37,125,2.97,69,0,350,0,2.97
1124,27.8,2.37,125,2.97,68,0,350,0,2.97
1125,27.8,2.37,125,2.97,67,0,350,0,2.97
1126,27.8,2.37,125,2.97,66,0,350,0,2.97
1127,27.8,2.37,125,2.97,66,0,350,0,2.97
1128,27.8,2.37,125,2.97,66,0,350,0,2.97
1129,27.8,2.37,125,2.97,66,0,350,0,2.97
1130,27.8,2.37,125,2.97,66,0,350,0,2.97
1131,27.8,2.37,125,2.97,70,78,350,273,275.97
1132,27.8,2.37,125,2.97,70,83,350,290.5,293.47
1133,27.8,2.37,125,2.97,71,83,351.5,291.75,294.72
